№ п/п,Наименование предприятия,ИНН,Почта
2,"ГАПОУ ТО ""ТКПСТ""",7203489252.0,TKPST@OBL72.RU; bu.tkpst@yandex.ru
3,"ГАПОУ ТО ""АТК""",7207006570.0,yalagrokoll@mail.ru; ylakb@mail.ru; madam.tolmacheva@inbox.ru
4,"ГАПОУ ТО ""ТТСИ И ГХ""",7203066708.0, tkv1080@mail.ru; tobolovats@mail.ru; tci72@mai.ru; tci72@obl72.ru; chupin747@gmail.com; tci72obl72@mail.ru
5,МАОУ МОСКОВСКАЯ СОШ,7224011650.0,mss72@inbox.ru; mss72@mail.ru
6,МАОУ ПЕРЕВАЛОВСКАЯ СОШ,7224010103.0,per@obraz-tmr.ru; perevalovoshcool@mail.ru; perevalovoschool@mail.ru
7,МАОУ ГИМНАЗИЯ № 16 ГОРОДА ТЮМЕНИ,7203076470.0,g16tmn@mail.ru; mayi@list.ru
8,"МАОУ ""ВЕЛИЖАНСКАЯ СОШ""",7219006599.0,vsosh08@mail.ru; VELIZHANY@YANDEX.RU
9,"МАОУ ""ИВАНОВСКАЯ СОШ"" УВАТСКОГО МУНИЦИПАЛЬНОГО РАЙОНА",7225003412.0,Ivanovskayabuh@yandex.ru; chucherilova@bk.ru; ivanovskajabuh@yandex.ru
10,МАОУ ВИНЗИЛИНСКАЯ СОШ ИМ. КОВАЛЬЧУКА,7224008249.0,d727@mail.ru
11,МАОУ ВАГАЙСКАЯ СОШ,7212003870.0,buhvagai@mail.ru; moyvagai_1@mail.ru; moyvagai_1@vail.ru
12,МАУ ДО СШ №1 ГОРОДА ТЮМЕНИ,7222018347.0,sor_ds1@mail.ru; sor_ds1@mail.ru_
13,"ГАПОУ ТО ""ИШИМСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ""",7205005066.0,medcolleg@ishim.ru; mail@med-ishim.ru; med_ishim@mail.ru; med-ishim@mail.ru; economist@med-ishim.ru; material@med-ishim.ru; imk@obl72.ru
14,МАОУ СОШ № 94 ГОРОДА ТЮМЕНИ,7204192511.0,school94-tmn@obl72.ru; kosm-alina@yandex.ru
15,"ФГБОУ ВО ""ТЮМЕНСКИЙ ИНДУСТРИАЛЬНЫЙ УНИВЕРСИТЕТ"" ФГБОУ ВО ""ТИУ"" ТЮМЕНСКИЙ ИНДУСТРИАЛЬНЫЙ УНИВЕРСИТЕТ ТИУ",7202028202.0,Laptevaov@tyuiu.ru; general@tyuiu.ru; timofeevaij@tyuiu.ru; ermolinaev@tyuiu.ru; maltsevaa@tyuiu.ru; fazylovark@tyuiu.ru
16,"МАОУ ""НИЖНЕАРЕМЗЯНСКАЯ СОШ""",7223009345.0,naremzan@mail.ru; n-aremzbuh@mail.ru; cherkashina-olka1993@mail.ru; n-aremzan@mail.ru; n-aremzduh@mail.ru
17,МБОУ НШ-ДС № 76 Г.ТЮМЕНИ,7203058457.0,school76tmn@mail.ru; school72tmn@mail.ru; school76@obl72.ru
